sno,sna,tot,sbi,mday,lat,lng,bemp,act
1257,麗林公有市場,34,3,20210224160343,25.069123,121.367761,31,1
1258,南樹林火車站,34,13,20210224160324,24.980236,121.408605,21,1
1259,新北市立鶯歌高級工商職業學校,40,11,20210224160340,24.939095,121.334639,27,1
1260,行政院新莊聯合辦公大樓,44,35,20210224160338,25.055969,121.444423,9,1
1261,柑園五里聯合活動中心,40,9,20210224160326,24.950576,121.386183,31,1
1262,中和自強公園,30,18,20210224160319,24.999132,121.472513,12,1
1263,富貴森林公園,36,2,20210224160333,25.083156,121.378464,34,1
1264,林口自強公園,36,8,20210224160337,25.078126,121.397208,27,1
1265,永昌里兒一公園,36,11,20210224160322,24.956661,121.339645,25,1
1266,捷運林口站(1號出口),48,29,20210224160326,25.06597,121.361962,19,1
1267,南興公園,52,4,20210224160330,25.059779,121.652549,46,1
1268,立言公園,34,15,20210224160318,25.073427,121.36234,19,1
1269,溪北公園,36,4,20210224160336,24.99006,121.432281,32,1
1270,頂新祖田市民活動中心,34,10,20210224160331,24.95271,121.411768,23,1
1271,貴和市民活動中心,34,1,20210224160327,25.034961,121.421928,33,1
1272,頂埔國小,34,0,20210224160323,24.956343,121.414421,34,1
1273,三峽區礁溪行政中心,32,2,20210224160338,24.928438,121.375921,30,1
1274,林口國小,36,18,20210224160335,25.080533,121.389307,18,1
1275,南勢市民活動中心,34,5,20210224160317,25.074035,121.358924,29,1
1276,青山廣場,36,0,20210224160338,24.977837,121.459751,36,1
1277,林口社區運動公園,50,18,20210224160138,25.07415,121.377001,32,1
1278,捷運新莊站 ( 2號出口 ),40,21,20210224160331,25.036075,121.452792,18,1
1279,俊英俊保路口,30,16,20210224160323,25.00915,121.425183,14,1
1280,五股國民運動中心,36,12,20210224160337,25.095553,121.448652,24,1
1281,學成大義路口,46,8,20210224160318,24.945099,121.378671,38,1
1282,捷運頭前庄站(1號出口),114,79,20210224160339,25.039365,121.460856,34,1
1283,文化機車立體停車場,32,19,20210224160340,25.172485,121.438806,13,1
1284,成德公園,36,6,20210224160323,25.105052,121.452963,30,1
1285,頭湖國小,38,0,20210224160332,25.081673,121.372687,38,1
1286,金城立德路口,38,8,20210224160321,24.986691,121.465481,30,1
1287,恩主公醫院,66,28,20210224160341,24.938912,121.363553,38,1
1288,中和區公所,32,0,20210224160328,24.998558,121.500533,32,1
1289,忠山市民活動中心,36,3,20210224160318,25.078202,121.624493,33,1
1290,三重永豐公園,32,11,20210224160338,25.074629,121.478162,18,1
1291,臺灣藝術大學,66,59,20210224160330,25.007502,121.448,7,1
1292,新莊體育館,40,15,20210224160322,25.040766,121.452459,25,1
1293,永和耕莘醫院,32,0,20210224160330,25.011232,121.517701,31,1
1294,三多國小,34,5,20210224160326,25.016405,121.407135,29,1
1295,永安兒童公園,48,32,20210224160339,25.082273,121.482236,16,1
1296,新北市立中和高級中學,36,14,20210224160336,24.9937,121.47823,21,1
1297,扶輪公園,40,15,20210224160321,25.072864,121.36948,25,1
1298,安邦公園,34,2,20210224160325,24.996867,121.496647,32,1
